id,input_text,target_text
e542a55c-1c3e-46d5-9afd-f8996e01aa9a,The product exceeded my expectations.,The product exceeded my expectations
71d57d06-4cb8-4c6e-a7f9-300c3dfc01fd,I need help with my machine learning project.,I need help with my machine learning project
ef37d333-1119-44b9-9c2d-a71b3b2fe23b,The product exceeded my expectations.,The product exceeded my expectations. This happened recently and I felt it was worth mentioning.
99b2950c-e490-4ca4-8ff3-f73759fda683,The laptop battery drains very quickly.,The laptop battery runs out fast.
fd250d63-1c92-4d40-b86b-ee62141df0d2,The movie was fantastic and enjoyable.,The movie was fantastic and enjoyable. This happened recently and I felt it was worth mentioning.
8b3000dd-d1a2-4fe1-8f85-ab20bd6f254d,The service at the hotel was terrible.,The service at the hotel was terrible
cf3522bf-81f7-4ef5-84a2-80eed5c9bffb,The movie was fantastic and enjoyable.,The movie was fantastic and enjoyable
b7fdcd30-a589-40d6-9dc2-8b4c2e293244,I am planning to travel next month.,I am planning to travel
42f332e4-f461-49cd-9151-26997df012c5,She completed her assignment on time.,She completed her assignment on time
b8976975-850d-4274-8157-5eb13cf46485,He bought a new phone yesterday.,He bought a new phone yesterday
8d444d56-a501-4da5-98e0-991387967ee2,The service at the hotel was terrible.,The service at the hotel was terrible. This happened recently and I felt it was worth mentioning.
6ea9b5c3-f251-4044-9e74-19dadd14e8e6,He bought a new phone yesterday.,He bought a new phone yesterday. This happened recently and I felt it was worth mentioning.
6560521b-15cb-4e77-9619-a047f8dd034b,I am planning to travel next month.,I am planning to travel next month. It was a memorable experience overall.
f6a26ba8-e826-47d3-aafe-9933626261df,She completed her assignment on time.,She completed her assignment on time
d959bfa4-1767-4cfc-8bf5-354185ac811b,He bought a new phone yesterday.,He bought a new phone yesterday. This happened recently and I felt it was worth mentioning.
7c2be0b4-c207-49d5-bd78-8e68806f9c24,The product exceeded my expectations.,The product exceeded my expectations.
b2045b0f-69df-49bc-ab88-bc43002ea902,The laptop battery drains very quickly.,The laptop battery runs out fast.
194f9081-cc3f-407e-8fb9-d66ec30edd85,The product exceeded my expectations.,The product exceeded my expectations
6014f06a-7c45-4866-88d6-4697cd52742e,The movie was fantastic and enjoyable.,The movie was fantastic and enjoyable
9e398a6c-5ee7-4d3b-a170-29d02bac237c,He bought a new phone yesterday.,He bought a new phone yesterday. This happened recently and I felt it was worth mentioning.
d274447a-46ec-4a2b-aa85-22a57784852e,The laptop battery drains very quickly.,The laptop battery runs out fast.
48392da4-ae6f-4490-bf92-1f35e97e4b28,The product exceeded my expectations.,The product exceeded my expectations.
6391519c-13cd-44d5-811b-48f16496fffd,The service at the hotel was terrible.,The service at the hotel was terrible
34c6b061-8397-4d86-83b6-75069f379cd9,The weather is cold and gloomy today.,The weather is cold and gloomy today. This happened recently and I felt it was worth mentioning.
c4bf13e4-1f48-4d65-9b39-4f6c94d27c90,He bought a new phone yesterday.,He bought a new phone
1369f961-073d-4951-a14b-72fdbb6ab4ae,The food in that restaurant was delicious.,"In summary, The food in that restaurant proved to be delicious."
325541b4-8fcf-4dfa-a790-a9b90ba1ee78,The laptop battery drains very quickly.,The laptop battery runs out fast.
0636974c-11a0-4c6f-ba26-2fb0a4060fb6,The movie was fantastic and enjoyable.,"In summary, The movie proved to be fantastic and enjoyable."
2f5beb55-8a10-4b4d-afb1-18d923f72f54,He bought a new phone yesterday.,"In summary, He bought a new phone yesterday."
75bb9a3b-3dc2-46a3-8492-7210a9d4d5a3,She completed her assignment on time.,She completed her assignment on time.
fe2a287a-38c0-413c-8420-13240ccca1b4,The service at the hotel was terrible.,"In summary, The service at the hotel proved to be terrible."
e2226930-6e34-4f43-9a36-6904651a39ad,The service at the hotel was terrible.,The service at the hotel
d360aae0-a7fa-489a-8e92-72b9f8a98157,The laptop battery drains very quickly.,The laptop battery drains very quickly. This happened recently and I felt it was worth mentioning.
24389243-b803-455d-bbb3-08aca9c2b261,She completed her assignment on time.,"In summary, She completed her assignment on time."
f82eb695-ab60-41d2-8c2c-28c74de05aeb,The laptop battery drains very quickly.,The laptop battery drains very quickly. This happened recently and I felt it was worth mentioning.
46b97697-33a6-43b4-8bab-0657e0da20a3,The product exceeded my expectations.,The product exceeded my expectations.
6a19082b-1b7b-496b-8033-0e539d0a70c8,The movie was fantastic and enjoyable.,The movie was fantastic and
247cc695-e117-4536-9063-b822be640209,I am planning to travel next month.,I am planning to travel next month.
662f8c5f-4bf0-41db-bd87-5e603544ac62,He bought a new phone yesterday.,He bought a new phone yesterday. This happened recently and I felt it was worth mentioning.
2bf59a2a-14bb-47e3-b376-2f9c0cae0dbc,The product exceeded my expectations.,"In summary, The product exceeded my expectations."
ac2ba7ce-dab9-409c-9dcd-6f53e0f779fd,The weather is cold and gloomy today.,"In summary, The weather is cold and gloomy today."
c8202276-933e-41d1-b7de-004140917bf3,The weather is cold and gloomy today.,The weather is cold and gloomy today.
690fa826-4fe8-4fcf-979a-826ac7b4545b,The movie was fantastic and enjoyable.,The movie was fantastic and enjoyable. This happened recently and I felt it was worth mentioning.
ce5b2819-aeff-4260-9a56-cc851f450981,The weather is cold and gloomy today.,The weather is cold and gloomy today.
fccee7d8-8a31-4857-bdb8-bdc141843c13,I am planning to travel next month.,I am planning to travel next month.
4eb35d93-9fc8-4637-a127-120ec8626e02,The service at the hotel was terrible.,The service at the hotel was terrible. It was a memorable experience overall.
dc330146-d196-4456-80d1-6b3effbd0bc3,The laptop battery drains very quickly.,The laptop battery drains very quickly. It was a memorable experience overall.
0e539032-05c1-4243-909c-b2c4d5428794,The weather is cold and gloomy today.,The weather is cold and gloomy today.
52f00975-cf86-4d8c-905f-b43ca26cb2c1,The movie was fantastic and enjoyable.,The movie was fantastic and enjoyable. It was a memorable experience overall.
f0d9199e-1dab-43ad-8d91-d4d728921e81,The movie was fantastic and enjoyable.,The movie was fantastic and enjoyable
e20d99ec-9f1c-4f79-a3c7-ffc8a823b90a,The product exceeded my expectations.,The product exceeded my expectations.
6346ac78-3712-4f98-9405-cb5fa8fb70fb,I am planning to travel next month.,I am planning to travel next month. It was a memorable experience overall.
36919a8d-0ed0-4682-88b7-f0e2ecc59cd3,The laptop battery drains very quickly.,The laptop battery runs out fast.
e00bf418-8ea2-43f9-9861-a00700b67337,The weather is cold and gloomy today.,"In summary, The weather is cold and gloomy today."
20b9278e-c3f4-4adc-a8ed-ca983e13c875,The laptop battery drains very quickly.,The laptop battery runs out fast.
3d5d76bb-3905-4b81-a5e8-1207f7cf48ae,The movie was fantastic and enjoyable.,The movie was fantastic and
34d7af6b-686a-4153-a08e-ff712ad6ee3e,The movie was fantastic and enjoyable.,The movie was fantastic and enjoyable. This happened recently and I felt it was worth mentioning.
c0c9d1bc-7639-4ca3-b612-9b7064580e56,I am planning to travel next month.,I am planning to travel next month.
836a6a57-f38e-4f7e-8c71-85aa7d4d7006,She completed her assignment on time.,She completed her assignment on
9ad8695a-fce8-4678-b97b-57f695646e38,The laptop battery drains very quickly.,The laptop battery drains very quickly
6c6e12c8-7448-4d07-9c79-c8e933c6fd15,The product exceeded my expectations.,"In summary, The product exceeded my expectations."
34e2e2af-1394-4092-a8ff-5b8b8532768f,She completed her assignment on time.,She completed her assignment on time
19c2a9bf-2592-4910-8c5c-494db75c6952,The laptop battery drains very quickly.,The laptop battery drains very quickly.
93df4e43-0a53-4522-85a2-21abd1d21fd7,He bought a new phone yesterday.,He bought a new phone
25eb7cdf-751c-4035-941c-76adfeffb7a6,She completed her assignment on time.,She completed her assignment on time.
02051621-e1a2-4fef-b19a-1c858684dab5,I need help with my machine learning project.,I need help with my machine learning project. It was a memorable experience overall.
07913aec-6a13-431d-a9a4-8e8d3c5aae25,The product exceeded my expectations.,The product exceeded my expectations. This happened recently and I felt it was worth mentioning.
a25eb694-6886-46c6-a548-484f032ae7fc,The food in that restaurant was delicious.,The food in that restaurant was delicious
69cadd5a-8f93-4c05-b4be-e680d4934666,The product exceeded my expectations.,The product exceeded my expectations.
87288ea0-20b3-47a1-9297-c41d72254e77,The weather is cold and gloomy today.,The weather is cold and gloomy today
4dcf57c1-676f-4bd5-848d-405090dada3d,The movie was fantastic and enjoyable.,The movie was fantastic and
4a70be09-b594-4f58-ad70-42a4e14dd573,The laptop battery drains very quickly.,"In summary, The laptop battery drains very quickly."
d707716a-da4f-42d4-a80f-9a00cd197c7a,The movie was fantastic and enjoyable.,The movie was really fantastic and enjoyable.
340fb0d7-fd08-4b15-a332-c3bf6d9cae6a,She completed her assignment on time.,She completed her assignment on
8ac45c82-b323-4bf1-b392-8862aae82ff6,He bought a new phone yesterday.,He bought a new phone yesterday
2af2923d-263d-4600-b0f9-1db8a45f5f76,The service at the hotel was terrible.,The service at the hotel was very disappointing.
d9f1610f-e18d-4a31-8cec-8d2d80db6d0a,The laptop battery drains very quickly.,"In summary, The laptop battery drains very quickly."
f305e6fa-29df-4d55-b482-4d1cc442bf96,The weather is cold and gloomy today.,The weather is cold and gloomy today. This happened recently and I felt it was worth mentioning.
60648ed3-5e39-4517-8ebc-ef5e13f25761,She completed her assignment on time.,She completed her assignment on time
06ecfa5d-8f34-42f3-b72a-66944ac38766,I need help with my machine learning project.,I need help with my machine learning project.
6a3998f0-118b-49e9-b811-9124512b201f,The weather is cold and gloomy today.,The weather is chilly and dark today.
62a21b49-4d24-47e6-82af-f332d8ea1bd6,I am planning to travel next month.,I am planning to travel
3ad5aa91-151f-4a26-806f-c1ac9eaa0321,The service at the hotel was terrible.,The service at the hotel was terrible
3724bba4-21dd-4895-a3af-c521540678fa,I am planning to travel next month.,I am planning to travel next month.
c7467203-3a52-42f0-ba9e-4ffbb9bf8958,I need help with my machine learning project.,I need help with my machine learning project
eaba6cea-3882-4889-8d5f-a5b3c0a0fea1,I need help with my machine learning project.,I need help with my
fbce2df3-b489-45aa-a2ec-5c96a651b2a3,The food in that restaurant was delicious.,"In summary, The food in that restaurant proved to be delicious."
f539c36f-cbff-42a3-bed3-4b340b7f7601,The food in that restaurant was delicious.,The food in that restaurant was delicious. This happened recently and I felt it was worth mentioning.
11eaa701-7708-4c95-81f8-12dd4c6eac24,The product exceeded my expectations.,The product exceeded my expectations. This happened recently and I felt it was worth mentioning.
3ae38661-da92-42b8-912b-516d4f825d3a,The food in that restaurant was delicious.,The food in that restaurant was delicious. This happened recently and I felt it was worth mentioning.
77e650e3-e097-4220-ac62-b1b475f60387,The food in that restaurant was delicious.,The food in that restaurant was tasty.
6ede6590-e7d3-4c09-914f-e05e10ffb67e,The service at the hotel was terrible.,The service at the hotel was terrible
0a1ee2b5-210e-4b95-805a-6b70a54e2c4f,The movie was fantastic and enjoyable.,The movie was fantastic and enjoyable
4f8d2ae7-7d6b-40d8-be8b-8f1b943204eb,She completed her assignment on time.,She completed her assignment on
81220320-4b26-4775-9525-96e1f08aeb18,The product exceeded my expectations.,The product exceeded my expectations.
eba7a414-76f9-4081-9118-0ef149aafd7a,The service at the hotel was terrible.,"In summary, The service at the hotel proved to be terrible."
db892d20-088c-48b5-8745-437e20ff60dd,The movie was fantastic and enjoyable.,The movie was fantastic and enjoyable. It was a memorable experience overall.
78439bc8-0df2-46c1-b831-b28a8f8717fb,He bought a new phone yesterday.,He bought a new phone yesterday
45b1d47c-5d37-456d-8dd9-260f67385dda,The product exceeded my expectations.,The product exceeded my expectations.
9a6499bd-f871-4d17-ae1c-ba5ed7f08b19,The weather is cold and gloomy today.,The weather is cold and gloomy today
b9478eef-6d2e-494d-a7ba-ad76229a98c7,The food in that restaurant was delicious.,The food in that restaurant was delicious
36030bcf-ee19-4c5e-ba45-cfed8c984db8,I am planning to travel next month.,I am planning to travel
c7d86ba0-f8f1-432e-a22a-3107668a5dab,The movie was fantastic and enjoyable.,The movie was fantastic and enjoyable. It was a memorable experience overall.
ffdafba0-d11f-4745-bf35-8e67471f1013,The food in that restaurant was delicious.,The food in that restaurant was delicious. This happened recently and I felt it was worth mentioning.
6e6b1c8d-dfff-47c4-a212-7b5c2ae28567,I need help with my machine learning project.,I need help with my machine learning project.
3df50b99-b31e-49e7-89d8-080295ae1f88,The laptop battery drains very quickly.,The laptop battery drains very quickly.
5f30f9f4-c441-46d0-981d-826484f51b54,The product exceeded my expectations.,The product exceeded my expectations.
d29e2673-fea0-4cec-996d-baae84cce718,The service at the hotel was terrible.,The service at the hotel was really super bad.
9606677a-55f6-44dc-a0e9-00ad753ba959,The weather is cold and gloomy today.,The weather is cold and gloomy today. This happened recently and I felt it was worth mentioning.
6526d6e3-8b55-46ea-9009-ece88f4a4206,The service at the hotel was terrible.,The service at the hotel was terrible. It was a memorable experience overall.
ba1eb4a1-69dd-4beb-ba2d-93fde9a1602a,I need help with my machine learning project.,I need help with my machine learning project.
7d8fec68-c563-498f-832a-c22120992b5a,The movie was fantastic and enjoyable.,"In summary, The movie proved to be fantastic and enjoyable."
a41b8ff9-1330-4131-8882-e66339e5ccfb,The product exceeded my expectations.,The product exceeded my expectations. This happened recently and I felt it was worth mentioning.
782c64a2-9cf4-47de-bb3f-62673bd4f096,I need help with my machine learning project.,I need help with my machine learning project. It was a memorable experience overall.
242f0630-4028-4c41-ab40-0df4e86e5ef6,The weather is cold and gloomy today.,"In summary, The weather is cold and gloomy today."
597f458b-3cfc-484e-a89c-3395f31f52d6,I am planning to travel next month.,I am planning to travel next month. This happened recently and I felt it was worth mentioning.
5e31cb1a-9a6e-4c14-86b2-bb21b11dcad0,The product exceeded my expectations.,The product exceeded my expectations.
abc335af-03c0-45d1-961a-36824d918c16,The laptop battery drains very quickly.,The laptop battery runs out fast.
f1cbb0d6-f59a-467d-9752-d0d47b2077a8,The movie was fantastic and enjoyable.,The movie was fantastic and enjoyable. It was a memorable experience overall.
6528e110-5e6d-4836-8cba-3c0fc51a244c,She completed her assignment on time.,She completed her assignment on time
7a43d78c-7b34-4197-b877-e3d3f68d08b1,The laptop battery drains very quickly.,The laptop battery drains very
